text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""I'm proud of advocating for myself at work but keep replaying the conversation, worried I came across too aggressive. Standing up for myself still feels uncomfortable and unfamiliar.""",confidence,"mental filtering, should statements",career,Self-advocacy with lingering self-doubt,Reinforce specific assertive communication skills while practicing self-validation,Professional assertion development,Self-worth with social harmony motivation,Skewed self-perception,Assertion rehearsal pattern,Workplace norm influence,Attention to perceived missteps,Creation of empowerment memory,Growing trust in professional voice,Similar past assertion challenges,Career decisions influenced by self-advocacy,Difficulty integrating assertive behaviors,Professional identity evolution,Self-advocacy situation,Professional agency valued
"""My childhood home was just demolished. Watching the rubble, I felt both devastation at the physical loss and strange freedom from places that held painful memories.""",devastation,"emotional reasoning, mental filtering",loss,Ambiguous loss with complex emotional layers,Create specific memorialization while honoring liberation feelings,Grief processing period,Healing with acceptance motivation,Multilayered loss perception,Memory integration pattern,Family history influence,Attention to symbolic meaning,Creation of transformation memory,Complex trust in change process,Integration of childhood experiences,Emotionally informed decision-making,Difficulty holding contradictory feelings,Evolving self identity,Home loss situation,Place attachment valued
"""I feel overwhelming love for my partner but also sometimes crave solitude so intensely it scares me. This push-pull makes me question if I'm truly committed to the relationship.""",conflicted love,"emotional reasoning, all-or-nothing thinking",relationship,Attachment with autonomy needs,Establish specific balanced alone/together time while rejecting either/or thinking,Relationship adjustment,Connection with self-preservation motivation,Split relationship perception,Intimacy regulation pattern,Relationship ideal influence,Attention to needs fluctuation,Creation of relationship complexity memory,Cyclical trust in relationship fit,Similar past intimacy struggles,Needs-based decision-making,Difficulty integrating connection and autonomy,Partner identity exploration,Relationship depth situation,Balanced relationship valued
"""Getting promoted over more experienced colleagues has left me feeling both proud and guilty. I know I earned it, but their disappointment makes me question whether I deserve this.""","anxiety, pride","personalization, mental filtering",career,Achievement with borrowed discomfort,Accept specific recognition while separating others' experiences,Professional advancement period,Achievement with social harmony motivation,Skewed success perception,Achievement discomfort pattern,Workplace comparison influence,Attention to colleague reactions,Creation of complex achievement memory,Conditional trust in professional worth,Similar past recognition discomfort,Career decisions influenced by social comfort,Difficulty integrating professional success,Professional identity evolution,Workplace hierarchy situation,Meritocratic achievement valued
"""Since coming out, I've felt both liberated and unexpectedly vulnerable. Being my authentic self is exhilarating but also exposes me to potential rejection in ways I hadn't anticipated.""",mixed joy/sadness,"emotional reasoning, fortune telling",identity,Identity integration with emerging challenges,Develop specific resilience practices while celebrating authenticity,Identity consolidation period,Authenticity with self-protection motivation,Multilayered identity perception,Authenticity navigation pattern,LGBTQ+ community influence,Attention to social risk,Creation of coming out memory,Growing trust in authentic self,N/A,Identity-congruent decision-making,Difficulty balancing openness and safety,Out identity forming,Post-coming out situation,Authentic living valued
"""I feel both deep gratitude for my privileged life and crushing guilt about not doing enough to help others. My comfort sometimes feels like complicity in systemic problems.""","guilt, warmth","emotional reasoning, magnification",social justice,Privilege awareness with disproportionate responsibility,Channel feelings into specific actionable contributions while maintaining perspective,Ethical living development,Justice with self-acceptance motivation,Skewed privilege perception,Activism pattern,Social awareness influence,Attention to inequality,Creation of privilege consciousness memory,Complex trust in personal impact,Similar past guilt episodes,Values-driven decision-making,Difficulty balancing self-care and activism,Global citizen identity,Social awareness situation,Ethical responsibility valued
"""Watching my parents age brings both tender appreciation for our time together and dread of impending loss. Every visit feels precious but also like counting down to something terrible.""",tenderness,"emotional reasoning, fortune telling",family,Mortality awareness with anticipatory grief,Create specific memory preservation projects while staying present,Family aging period,Connection with emotional endurance motivation,Bittersweet family perception,Cherishing rituals pattern,Family expectation influence,Attention to temporal awareness,Creation of poignant memory,Deepened trust in family bonds,Integration of relationship evolution,Family-prioritizing decision-making,Difficulty balancing appreciation and dread,Adult child identity deepening,Parent aging situation,Family legacy valued
"""I'm thrilled about my pregnancy but terrified by all that could go wrong. Every joyful planning session suddenly veers into catastrophic what-ifs I can't control.""",joy with anxiety,"catastrophizing, emotional reasoning",pregnancy,Anticipatory joy with disproportionate risk assessment,Balance specific preparation with mindfulness techniques,Pregnancy journey,Hope with safety motivation,Threat-filtered joy perception,Anxiety cycling pattern,Pregnancy culture influence,Attention to potential complications,Creation of complex expectation memory,Conditional trust in pregnancy process,N/A,Pregnancy decisions influenced by anxiety,Difficulty maintaining balanced perspective,Expectant parent identity forming,Pregnancy milestone situation,Parenthood preparation valued
"""After years in academia, I'm leaving for industry. I feel both excited by new possibilities and guilty abandoning the intellectual life I worked so hard to build.""",optimism,"emotional reasoning, should statements",career,Career transition with lingering identity attachment,Honor academic identity while exploring specific new professional aspects,Career reinvention period,Growth with self-acceptance motivation,Split career perception,Professional adaptation pattern,Academic culture influence,Attention to transition tensions,Creation of career evolution memory,Developing trust in professional adaptability,Integration of academic experiences,Transition-supporting decision-making,Difficulty integrating multiple professional selves,Evolving professional identity,Career change situation,Professional growth valued
"""I feel both profound love for my child and resentment about how motherhood has limited my career. These contradictory feelings make me question whether I'm a good mother.""",conflicted love,"emotional reasoning, should statements",parenting,Parental ambivalence with self-judgment,Normalize complex feelings while creating specific personal/professional balance,Parenting identity integration,Fulfillment with self-compassion motivation,Split parental perception,Needs-balancing pattern,Parenting ideal influence,Attention to role conflict,Creation of parenting complexity memory,Conditional trust in parenting adequacy,Similar past identity conflicts,Holistic life decision-making,Difficulty integrating multiple roles,Mother-professional identity,Parenting challenge situation,Intensive parenting valued
"""Since the layoff, I've been oscillating between motivated job searching and complete despair. Some days I network energetically, others I can't get out of bed, convinced no one will hire me.""",mixed joy/sadness,"all-or-nothing thinking, emotional reasoning",career,Job loss with inconsistent coping,Structure specific balanced job search routine with self-care,Career transition period,Security with self-preservation motivation,Volatile job search perception,Inconsistent effort pattern,Unemployment stigma influence,Attention to opportunity/threat,Creation of career disruption memory,Fluctuating trust in employability,Similar past career transitions,Job search decisions influenced by mood,Difficulty maintaining consistent effort,Professional identity threatened,Job loss situation,Career stability valued
"""I feel both deep pride in my cultural heritage and painful alienation from some traditional expectations. Family gatherings become minefields of conflicting loyalties.""",connection,"emotional reasoning, all-or-nothing thinking",identity,Cultural belonging with generation gap,Develop specific boundary-setting skills while honoring heritage,Cultural identity integration,Authenticity with belonging motivation,Split cultural perception,Code-switching pattern,Family expectation influence,Attention to cultural tensions,Creation of identity negotiation memory,Complex trust in cultural belonging,Similar past family conflicts,Culture-conscious decision-making,Difficulty balancing tradition and individuality,Bicultural identity,Family gathering situation,Cultural preservation valued
